CrabYear,Port,StartDateMod
2007,5,12/1/2007
2008,5,12/1/2008
2009,5,12/1/2009
2010,5,12/12/2010
2011,5,12/15/2011
2012,5,12/31/2012
2013,5,12/16/2013
2014,5,12/1/2014
2015,5,1/4/2016
2016,5,1/1/2017
2017,5,1/15/2018
2007,2,12/1/2007
2008,2,12/1/2008
2009,2,12/1/2009
2010,2,12/12/2010
2011,2,12/15/2011
2012,2,12/31/2012
2013,2,12/16/2013
2014,2,12/1/2014
2015,2,1/4/2016
2016,2,1/1/2017
2017,2,1/15/2018
2007,3,12/1/2007
2008,3,12/1/2008
2009,3,12/1/2009
2010,3,12/12/2010
2011,3,12/15/2011
2012,3,12/31/2012
2013,3,12/16/2013
2014,3,12/1/2014
2015,3,1/4/2016
2016,3,1/1/2017
2017,3,1/15/2018
2007,4,12/1/2007
2008,4,12/1/2008
2009,4,12/1/2009
2010,4,12/12/2010
2011,4,12/15/2011
2012,4,12/31/2012
2013,4,12/16/2013
2014,4,12/1/2014
2015,4,1/4/2016
2016,4,1/1/2017
2017,4,1/15/2018
2007,8,12/1/2007
2008,8,12/1/2008
2009,8,12/1/2009
2010,8,12/12/2010
2011,8,12/15/2011
2012,8,12/31/2012
2013,8,12/16/2013
2014,8,12/1/2014
2015,8,1/4/2016
2016,8,1/1/2017
2017,8,1/15/2018
2007,10,12/1/2007
2008,10,12/1/2008
2009,10,12/1/2009
2010,10,12/12/2010
2011,10,12/15/2011
2012,10,12/31/2012
2013,10,12/16/2013
2014,10,12/1/2014
2015,10,1/4/2016
2016,10,1/1/2017
2017,10,1/15/2018
2007,16,12/1/2007
2008,16,12/1/2008
2009,16,12/1/2009
2010,16,12/12/2010
2011,16,12/15/2011
2012,16,12/31/2012
2013,16,12/16/2013
2014,16,12/1/2014
2015,16,1/4/2016
2016,16,1/1/2017
2017,16,1/15/2018
2007,22,12/1/2007
2008,22,12/1/2008
2009,22,12/1/2009
2010,22,12/12/2010
2011,22,12/15/2011
2012,22,12/31/2012
2013,22,12/16/2013
2014,22,12/1/2014
2015,22,1/4/2016
2016,22,1/1/2017
2017,22,1/15/2018
2007,24,12/1/2007
2008,24,12/1/2008
2009,24,12/1/2009
2010,24,12/12/2010
2011,24,12/15/2011
2012,24,12/31/2012
2013,24,12/16/2013
2014,24,12/1/2014
2015,24,1/4/2016
2016,24,1/1/2017
2017,24,1/15/2018
2007,26,12/1/2007
2008,26,12/1/2008
2009,26,12/1/2009
2010,26,12/12/2010
2011,26,12/15/2011
2012,26,12/31/2012
2013,26,12/16/2013
2014,26,12/1/2014
2015,26,1/4/2016
2016,26,1/1/2017
2017,26,1/15/2018
2007,30,12/1/2007
2008,30,12/1/2008
2009,30,12/1/2009
2010,30,12/12/2010
2011,30,12/15/2011
2012,30,12/31/2012
2013,30,12/16/2013
2014,30,12/1/2014
2015,30,1/4/2016
2016,30,12/18/2016
2017,30,2/7/2018
2007,32,12/1/2007
2008,32,12/1/2008
2009,32,12/1/2009
2010,32,12/12/2010
2011,32,12/15/2011
2012,32,12/31/2012
2013,32,12/16/2013
2014,32,12/1/2014
2015,32,1/4/2016
2016,32,12/18/2016
2017,32,2/7/2018
2007,34,12/1/2007
2008,34,12/1/2008
2009,34,12/1/2009
2010,34,12/12/2010
2011,34,12/15/2011
2012,34,12/31/2012
2013,34,12/16/2013
2014,34,12/1/2014
2015,34,1/4/2016
2016,34,12/18/2016
2017,34,2/7/2018
2007,36,12/1/2007
2008,36,12/1/2008
2009,36,12/1/2009
2010,36,12/12/2010
2011,36,12/15/2011
2012,36,12/31/2012
2013,36,12/16/2013
2014,36,12/1/2014
2015,36,1/4/2016
2016,36,12/18/2016
2017,36,2/7/2018
2007,38,12/1/2007
2008,38,12/1/2008
2009,38,12/1/2009
2010,38,1/15/2011
2011,38,12/15/2011
2012,38,12/31/2012
2013,38,12/16/2013
2014,38,12/1/2014
2015,38,1/4/2016
2016,38,12/18/2016
2017,38,2/7/2018
2007,40,12/1/2007
2008,40,12/1/2008
2009,40,12/1/2009
2010,40,1/15/2011
2011,40,1/15/2012
2012,40,12/31/2012
2013,40,12/16/2013
2014,40,12/1/2014
2015,40,1/4/2016
2016,40,12/18/2016
2017,40,2/7/2018
2007,42,12/1/2007
2008,42,12/1/2008
2009,42,12/1/2009
2010,42,12/12/2010
2011,42,1/15/2012
2012,42,12/31/2012
2013,42,12/16/2013
2014,42,12/1/2014
2015,42,1/4/2016
2016,42,12/18/2016
2017,42,2/7/2018